Timestamp,Candidate_name,Political_party,Age,Date_of_birth,Gender,Current_occupation,Number_of_terms_as_an_MP,Current_constituency,Newcomer,Candidates_facebook_page_link,Secondary_school,Secondary_school_2,Bachelor,Master,Doctor
29/11/2019 15:00:00,Alex Yam Ziming,PAP,38,20/06/1981,Male,MP,2,Marsiling-Yew Tee GRC,"No, he/ she is an MP.",https://www.facebook.com/zayam,Dunman High School,Victoria Junior College,University of Kent,,
29/11/2019 15:00:00,Amrin Amin,PAP,41,05/10/1978,Male,MP,1,Sembawang GRC,"No, he/ she is an MP.",https://www.facebook.com/amrin.page/,Dunman Secondary School,Tampines Junior College,National University of Singapore,Columbia University,
29/11/2019 15:00:00,Amy Khor Lean Suan,PAP,61,23/02/1958,Female,MP,4,Hong Kah North SMC,"No, he/ she is an MP.",https://www.facebook.com/AmyKhorPage/,Raffles Girls' School,Raffles Institution,National University of Singapore,San Jose State University ,University of Reading
29/11/2019 15:00:00,Ang Hin Kee,PAP,54,22/10/1965,Male,MP,2,Ang Mo Kio GRC,"No, he/ she is an MP.",https://www.facebook.com/anghinkee/,Bartley Secondary School,Jurong Junior College,National University of Singapore,,
29/11/2019 15:00:00,Ang Wei Neng,PAP,52,31/03/1967,Male,MP,2,Jurong GRC,"No, he/ she is an MP.",https://www.facebook.com/angweineng.mp/,Chinese High School,Hwa Chong Junior College,National University of Singapore,Nanyang Technological University,
29/11/2019 15:00:00,Baey Yam Keng,PAP,49,31/08/1970,Male,MP,3,Tampines GRC,"No, he/ she is an MP.",https://www.facebook.com/BaeyYamKeng/,Catholic High School,Hwa Chong Junior College,Imperial College London,University College London,
29/11/2019 15:00:00,Cedric Foo Chee Keng,PAP,59,16/07/1960,Male,MP,4,Pioneer SMC,"No, he/ she is an MP.",https://www.facebook.com/Foo.Cedric/,Tanglin Technical School,Singapore Polytechnic,University of Michigan,Massachusetts Institute of Technology ,
29/11/2019 15:00:00,Chan Chun Sing,PAP,50,09/10/1969,Male,MP,2,Tanjong Pagar GRC,"No, he/ she is an MP.",https://www.facebook.com/ChanChunSing.SG/,Raffles Institution,Raffles Junior College,University of Cambridge,,
29/11/2019 15:00:00,Charles Chong,PAP,66,24/06/1953,Male,MP,7,Punggol East SMC,"No, he/ she is an MP.",https://www.facebook.com/charleschongyoufook/,St. Joseph's Institution,Sydney Technical College,-,,
29/11/2019 15:00:00,Chee Hong Tat,PAP,46,04/11/1973,Male,MP,1,Bishan-Toa Payoh GRC,"No, he/ she is an MP.",https://www.facebook.com/hongtat.chee/,-,-,University of California at Berkeley,Adelaide University ,
29/11/2019 15:00:00,Chen Show Mao,WP,58,06/02/1961,Male,MP,2,Aljunied GRC,"No, he/ she is an MP.",https://www.facebook.com/ChenShowMao/,Catholic High School,National Junior College,Harvard University,,
29/11/2019 15:00:00,Cheng Li Hui,PAP,43,13/08/1976,Female,MP,1,Tampines GRC,"No, he/ she is an MP.",https://www.facebook.com/chenglihui.sg/,-,-,National University of Singapore,Macquarie University ,
29/11/2019 15:00:00,Cheryl Chan Wei Ling,PAP,43,05/12/1976,Female,MP,1,Fengshan SMC,"No, he/ she is an MP.",https://www.facebook.com/cherylchanwl/,Singapore Chinese Girls' School,Catholic Junior College,Nanyang Technological University,Macquarie University ,
29/11/2019 15:00:00,Chia Shi-Lu,PAP,48,13/10/1971,Male,MP,2,Tanjong Pagar GRC,"No, he/ she is an MP.",https://www.facebook.com/drchiashilu/,-,-,National University of Singapore,,
29/11/2019 15:00:00,Chong Kee Hiong,PAP,53,14/04/1966,Male,MP,1,Bishan-Toa Payoh GRC,"No, he/ she is an MP.",https://www.facebook.com/ChongKeeHiong/,-,-,National University of Singapore,,
29/11/2019 15:00:00,Christopher De Souza,PAP,43,21/01/1976,Male,MP,3,Holland-Bukit Timah GRC,"No, he/ she is an MP.",https://www.facebook.com/chrisdesouza.up/,-,-,King's College London,University of Oxford,
29/11/2019 15:00:00,Daniel Goh Pei Siong,WP,46,1973,Male,MP,1,NCMP,"No, he/ she is an MP.",https://www.facebook.com/danpsgoh/,St. Joseph's Institution,-,National University of Singapore,National University of Singapore,University of Michigan
29/11/2019 15:00:00,Darryl David,PAP,49,19/10/1970,Male,MP,1,Ang Mo Kio GRC,"No, he/ she is an MP.",https://www.facebook.com/darryldavidSG/,Raffles Institution,Raffles Junior College,National University of Singapore,Nanyang Technological University ,
29/11/2019 15:00:00,Denise Phua Lay Peng,PAP,60,09/12/1959,Female,MP,3,Jalan Besar GRC,"No, he/ she is an MP.",https://www.facebook.com/denisephuapage/,Raffles Girls' School,Hwa Chong Junior College,National University of Singapore,Golden Gate University,
